,Province/State,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,test_country,lat_long,city_county_state
0,Anhui,31.825709999999997,117.2264,1,9,15,39,60,70,106,152,200,237,297,340,408,480,530,591,665,733,779,830,860,889,910,934,950,962,973,982,986,987,988,989,989,China,"31.825709999999997,117.2264","Lianhua Community, 合肥政务文化新区, Anhui"
1,Beijing,40.18238,116.4142,14,22,36,41,68,80,91,111,114,139,168,191,212,228,253,274,297,315,326,337,342,352,366,372,375,380,381,387,393,395,396,399,399,China,"40.18238,116.4142",", Changping District, Beijing"
2,Chongqing,30.05718,107.874,6,9,27,57,75,110,132,147,182,211,247,300,337,366,389,411,426,428,468,486,505,518,529,537,544,551,553,555,560,567,572,573,575,China,"30.05718,107.874",", Fengdu County, Chongqing"
3,Fujian,26.07783,117.9895,1,5,10,18,35,59,80,84,101,120,144,159,179,194,205,215,224,239,250,261,267,272,279,281,285,287,290,292,293,293,293,293,293,China,"26.07783,117.9895","Sanming City, Youxi County, Fujian"
4,Gansu,36.0611,103.8343,0,2,2,4,7,14,19,24,26,29,40,51,55,57,62,62,67,79,83,83,86,87,90,90,90,90,91,91,91,91,91,91,91,China,"36.0611,103.8343","Guangwumen Subdistrict, Chengguan District, Gansu"
5,Guangdong,23.33841,113.42200000000001,26,32,53,78,111,151,207,277,354,436,535,632,725,813,895,970,1034,1095,1131,1159,1177,1219,1241,1261,1294,1316,1322,1328,1331,1332,1333,1339,1342,China,"23.33841,113.42200000000001","Guangzhou City, Baiyun District, Guangdong"
6,Guangxi,23.829079999999998,108.7881,2,5,23,23,36,46,51,58,78,87,100,111,127,139,150,168,172,183,195,210,215,222,222,226,235,237,238,242,244,245,246,249,249,China,"23.829079999999998,108.7881",", Xincheng County, Guangxi"
7,Guizhou,26.81536,106.8748,1,3,3,4,5,7,9,9,12,29,29,38,46,58,64,71,81,89,99,109,127,133,135,140,143,144,146,146,146,146,146,146,146,China,"26.81536,106.8748","Guiyang City, Wudang District, Guizhou"
8,Hainan,19.19673,109.7455,4,5,8,19,22,33,40,43,46,52,62,64,72,80,99,106,117,124,131,138,144,157,157,159,162,162,163,163,168,168,168,168,168,China,"19.19673,109.7455",", Qiongzhong Li and Miao Autonomous County, Hainan"
9,Hebei,38.0428,114.5149,1,1,2,8,13,18,33,48,65,82,96,104,113,126,135,157,172,195,206,218,239,251,265,283,291,300,301,306,306,307,308,309,311,China,"38.0428,114.5149","Shijiazhuang City, Qiaoxi District, "
10,Heilongjiang,47.861999999999995,127.7622,0,2,4,9,15,21,33,38,44,59,80,95,121,155,190,227,277,295,307,331,360,378,395,419,425,445,457,464,470,476,479,479,480,China,"47.861999999999995,127.7622","通北林业局, Bei'an City, Heilongjiang"
11,Henan,33.882020000000004,113.61399999999999,5,5,9,32,83,128,168,206,278,352,422,493,566,675,764,851,914,981,1033,1073,1105,1135,1169,1184,1212,1231,1246,1257,1262,1265,1267,1270,1271,China,"33.882020000000004,113.61399999999999",", Xiangcheng County, Henan"
12,Hubei,30.975640000000002,112.2707,444,444,549,761,1058,1423,3554,3554,4903,5806,7153,11177,13522,16678,19665,22112,24953,27100,29631,31728,33366,33366,48206,54406,56249,58182,59989,61682,62031,62442,62662,64084,64084,China,"30.975640000000002,112.2707",", Duodao District, Hubei"
13,Hunan,27.610409999999998,111.7088,4,9,24,43,69,100,143,221,277,332,389,463,521,593,661,711,772,803,838,879,912,946,968,988,1001,1004,1006,1007,1008,1010,1011,1013,1016,China,"27.610409999999998,111.7088","Loudi City, Lianyuan City, "
14,Inner Mongolia,44.09448,113.9456,0,0,1,7,7,11,15,16,19,20,23,27,34,35,42,46,50,52,54,58,58,60,61,65,68,70,72,73,75,75,75,75,75,China,"44.09448,113.9456","Mandulatu, Sonid Left Banner, Inner Mongolia"
15,Jiangsu,32.97027,119.464,1,5,9,18,33,47,70,99,129,168,202,236,271,308,341,373,408,439,468,492,515,543,570,593,604,617,626,629,631,631,631,631,631,China,"32.97027,119.464","Yangzhou City, Gaoyou City, Jiangsu"
16,Jiangxi,27.614009999999997,115.7221,2,7,18,18,36,72,109,109,162,240,286,333,391,476,548,600,661,698,740,771,804,844,872,900,913,925,930,933,934,934,934,934,934,China,"27.614009999999997,115.7221",", Le'an County, Jiangxi"
17,Jilin,43.66657,126.1917,0,1,3,4,4,6,8,9,14,14,17,23,31,42,54,59,65,69,78,80,81,83,84,86,88,89,89,89,90,91,91,91,91,China,"43.66657,126.1917",", Yongji County, Jilin"
18,Liaoning,41.292840000000005,122.6086,2,3,4,17,21,27,34,39,41,48,64,70,74,81,89,94,99,105,107,108,111,116,117,119,119,121,121,121,121,121,121,121,121,China,"41.292840000000005,122.6086","Shenyang City, Liaozhong District, Liaoning"
19,Ningxia,37.26923,106.1655,1,1,2,3,4,7,11,12,17,21,26,28,31,34,34,40,43,45,45,49,53,58,64,67,70,70,70,70,71,71,71,71,71,China,"37.26923,106.1655","Hongsibao, Hongsibao District, Ningxia"
20,Qinghai,35.65945,96.02564,0,0,0,1,1,6,6,6,8,8,9,11,13,15,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,China,"35.65945,96.02564",", Dulan County, Qinghai"
21,Shaanxi,35.19165,108.8701,0,3,5,15,22,35,46,56,63,87,101,116,128,142,165,173,184,195,208,213,219,225,229,230,232,236,240,240,242,245,245,245,245,China,"35.19165,108.8701",", Yaozhou District, Shaanxi"
22,Shandong,36.34377,118.1529,2,6,15,27,46,75,95,130,158,184,206,230,259,275,307,347,386,416,444,466,487,497,509,523,532,537,541,543,544,546,749,750,754,China,"36.34377,118.1529",", Boshan District, Shandong"
23,Shanghai,31.20327,121.4554,9,16,20,33,40,53,66,96,112,135,169,182,203,219,243,257,277,286,293,299,303,311,315,318,326,328,333,333,333,334,334,335,335,China,"31.20327,121.4554",", Xuhui District, Shanghai"
24,Shanxi,37.577690000000004,112.2922,1,1,1,6,9,13,27,27,35,39,47,66,74,81,81,96,104,115,119,119,124,126,126,127,128,129,130,131,131,132,132,132,132,China,"37.577690000000004,112.2922",", Qingxu County, Shanxi"
25,Sichuan,30.617140000000003,102.7103,5,8,15,28,44,69,90,108,142,177,207,231,254,282,301,321,344,364,386,405,417,436,451,463,470,481,495,508,514,520,525,526,526,China,"30.617140000000003,102.7103",", Baoxing County, Sichuan"
26,Tianjin,39.293620000000004,117.333,4,4,8,10,14,23,24,27,31,32,41,48,60,67,69,79,81,88,91,95,106,112,119,120,122,124,125,128,130,131,132,135,135,China,"39.293620000000004,117.333","北辰区, Beichen District, Tianjin"
27,Tibet,30.1534,88.7879,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,China,"30.1534,88.7879",", Xaitongmoin County, Tibet"
28,Xinjiang,41.11981,85.17822,0,2,2,3,4,5,10,13,14,17,18,21,24,29,32,36,39,42,45,49,55,59,63,65,70,71,75,76,76,76,76,76,76,China,"41.11981,85.17822","Ka'erquga, Yuli County, Xinjiang"
29,Yunnan,24.97411,101.4868,1,2,5,11,16,26,44,55,70,83,93,105,117,122,128,133,138,138,141,149,153,154,156,162,168,171,171,172,172,174,174,174,174,China,"24.97411,101.4868","Chuxiong City, , Yunnan"
30,Zhejiang,29.182509999999997,120.0985,10,27,43,62,104,128,173,296,428,538,599,661,724,829,895,954,1006,1048,1075,1092,1117,1131,1145,1155,1162,1167,1171,1172,1174,1175,1203,1205,1205,China,"29.182509999999997,120.0985",", Dongyang City, Zhejiang"
31,,13.7563,100.5018,2,3,5,7,8,8,14,14,14,19,19,19,19,25,25,25,25,32,32,32,33,33,33,33,33,34,35,35,35,35,35,35,35,Thailand,"13.7563,100.5018","Bangkok, , Bangkok"
32,,35.6762,139.6503,2,1,2,2,4,4,7,7,11,15,20,20,20,22,22,45,25,25,26,26,26,28,28,29,43,59,66,74,84,94,105,122,147,Japan,"35.6762,139.6503","Suginami, , Tokyo"
33,,37.5665,126.978,1,1,2,2,3,4,4,4,4,11,12,15,15,16,19,23,24,24,25,27,28,28,28,28,28,29,30,31,31,104,204,433,602,"Korea, Democratic People's Republic of","37.5665,126.978",", Jung-gu, "
34,Taiwan,23.6978,120.9605,1,1,3,3,4,5,8,8,9,10,10,10,10,11,11,16,16,17,18,18,18,18,18,18,18,20,22,22,23,24,26,26,28,"Taiwan, Province of China","23.6978,120.9605",", Nantou County, Taiwan Province"
35,"Seattle, WA",47.7511,-120.74,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,United States,"47.7511,-120.74",", Chelan County, Washington"
36,"Chicago, IL",40.6331,-89.3985,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,United States,"40.6331,-89.3985",", Tazewell County, Illinois"
37,"Tempe, AZ",34.0489,-111.094,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,United States,"34.0489,-111.094",", Gila County, Arizona"
38,Macau,22.1987,113.5439,1,2,2,2,5,6,7,7,7,7,7,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,Macao,"22.1987,113.5439","Macau, , Macau"
39,Hong Kong,22.3193,114.1694,0,2,2,5,8,8,8,10,10,12,13,15,15,17,21,24,25,26,29,38,49,50,53,56,56,57,60,62,63,68,68,69,74,Hong Kong,"22.3193,114.1694","Hong Kong, Yau Tsim Mong District, "
40,,1.3521,103.8198,0,1,3,3,4,5,7,7,10,13,16,18,18,24,28,28,30,33,40,45,47,50,58,67,72,75,77,81,84,84,85,85,89,Singapore,"1.3521,103.8198","Singapore, Central, "
41,,21.0278,105.8342,0,2,2,2,2,2,2,2,2,2,6,6,8,8,8,10,10,13,13,14,15,15,16,16,16,16,16,16,16,16,16,16,16,Viet Nam,"21.0278,105.8342","Hanoi, Dong Da District, "
42,,46.2276,2.2137,0,0,2,3,3,3,4,5,5,5,6,6,6,6,6,6,6,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,France,"46.2276,2.2137",", Aubusson, New Aquitaine"
43,,28.3949,84.124,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Nepal,"28.3949,84.124",", Madi, Gandaki Pradesh"
44,,4.2105,101.9758,0,0,0,3,4,4,4,7,8,8,8,8,8,10,12,12,12,16,16,18,18,18,19,19,22,22,22,22,22,22,22,22,22,Malaysia,"4.2105,101.9758",", Lipis, Pahang"
45,"Toronto, ON",43.6532,-79.3832,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Canada,"43.6532,-79.3832","Toronto, , Ontario"
46,British Columbia,49.2827,-123.12100000000001,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,4,4,4,5,5,5,5,6,6,6,Canada,"49.2827,-123.12100000000001","Vancouver, Metro Vancouver Regional District, British Columbia"
47,"Orange, CA",33.7879,-117.8531,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,United States,"33.7879,-117.8531","Orange, Orange, California"
48,"Los Angeles, CA",34.0522,-118.2437,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,United States,"34.0522,-118.2437","Los Angeles, Los Angeles County, California"
49,New South Wales,-33.8688,151.2093,0,0,0,0,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Australia,"-33.8688,151.2093","Sydney, Council of the City of Sydney, "
50,Victoria,-37.8136,144.9631,0,0,0,0,1,1,1,1,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Australia,"-37.8136,144.9631",", City of Melbourne, Victoria"
51,Queensland,-27.4698,153.0251,0,0,0,0,0,0,0,1,3,2,3,2,2,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Australia,"-27.4698,153.0251","Brisbane, , Queensland"
52,,12.5657,104.991,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Cambodia,"12.5657,104.991",", , Kampong Thom"
53,,7.8731,80.7718,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Sri Lanka,"7.8731,80.7718","Dambulla, , Central Province"
54,,51.1657,10.4515,0,0,0,0,0,1,4,4,4,5,8,10,12,12,12,12,13,13,14,14,16,16,16,16,16,16,16,16,16,16,16,16,16,Germany,"51.1657,10.4515","Vogtei, Vogtei, Thuringia"
55,,61.9241,25.7482,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Finland,"61.9241,25.7482","Jyväskylä, Jyväskylä sub-region, Mainland Finland"
56,,23.4241,53.8478,0,0,0,0,0,0,0,4,4,4,4,5,5,5,5,5,5,7,7,8,8,8,8,8,8,9,9,9,9,9,9,13,13,United Arab Emirates,"23.4241,53.8478",", , Abu Dhabi"
57,,12.8797,121.774,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Philippines,"12.8797,121.774",", Conception, Romblon"
